dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TP,4306.666666666667,302.02207424844516,3964.896515964311,4648.436817369023,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FN,2744.0,309.74667068428676,2393.48864554768,3094.51135445232,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FP,7489.666666666667,1035.8389514462822,6317.50454765563,8661.828785677704,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TN,36177.333333333336,1035.8389514462822,35005.1712143223,37349.495452344374,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TP,4325.0,309.74667068428676,3974.48864554768,4675.51135445232,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FN,2791.0,260.82369524259104,2495.850203907688,3086.149796092312,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FP,7312.333333333333,852.5000488758538,6347.638713236152,8277.027953430514,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TN,36354.666666666664,852.5000488758538,35389.972046569485,37319.361286763844,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TP,4278.0,260.82369524259104,3982.850203907688,4573.149796092312,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FN,2775.3333333333335,286.7339068427962,2450.86337266243,3099.803294004237,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FP,7365.0,943.7632118280517,6297.031388975625,8432.968611024375,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TN,36302.0,943.7632118280517,35234.03138897562,37369.96861102438,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TP,4293.666666666667,286.7339068427962,3969.1967059957633,4618.136627337571,3
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,FN,2706.0,210.54453210663058,2467.7464331151928,2944.2535668848072,3
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,FP,7157.333333333333,695.7710351353621,6369.994288251031,7944.672378415635,3
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,TN,36509.666666666664,695.7710351353621,35722.327621584365,37297.00571174896,3
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,TP,4363.0,210.54453210663058,4124.746433115192,4601.253566884808,3
