run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,rank,feature,mean_abs_shap,method
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,5,BMI,0.2541365776167483,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,6,Sex,0.1218456165979198,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,7,Income,0.0923717304752283,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,8,CholCheck,0.072984429899931,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,9,HvyAlcoholConsump,0.0654171707226924,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,10,Fruits,0.0481920665889479,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,11,HeartDiseaseorAttack,0.0369717530035085,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,12,PhysHlth,0.0335874537282838,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,13,Education,0.0307400321892084,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,14,DiffWalk,0.0300036184445113,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,15,PhysActivity,0.0148936032067824,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,16,Stroke,0.0138401035969554,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,17,Veggies,0.008966768503298,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,18,AnyHealthcare,0.0066484352232159,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,19,MentHlth,0.0053645583843837,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,20,NoDocbcCost,0.0048235498604885,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,2,21,Smoker,0.0018076842824124,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,1,GenHlth,0.4718327254183803,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,2,HighBP,0.3623502535773907,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,3,Age,0.3049290439052383,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,4,HighChol,0.2889064252537083,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,5,BMI,0.2826591892493397,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,6,Sex,0.1273897168865101,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,7,HvyAlcoholConsump,0.1140844271514093,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,8,Income,0.0921327542590336,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,9,CholCheck,0.0618584386489591,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,10,DiffWalk,0.0419300121190707,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,11,PhysHlth,0.0416236488918405,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,12,Fruits,0.0382444718328994,shap
